38 Provinsi,,,,,,,,,
,Rata-Rata Konsumsi Rumah Tangga yang Memiliki Pengeluaran Telekomunikasi Menurut Provinsi (Rupiah),,,,,,,,
,Perkotaan,,,Perdesaan,,,Perkotaan+Perdesaan,,
,2020,2021,2022,2020,2021,2022,2020,2021,2022
ACEH,5685303.72,5904500.9,5971557.98,4051127.55,4007655.24,4352406.09,4600377.72,4661678.28,4917624.46
SUMATERA UTARA,5350785.82,5099096.52,5379974.11,3921688.42,3837885.36,4217060.87,4711151.41,4544866.18,4881078.94
SUMATERA BARAT,6057718.56,5985991.6,6312446.01,4445869.53,4491774.67,4946894.24,5227120.65,5244390.45,5640747.23
RIAU,6641647.99,6107860.72,6791720.55,4513588.53,4647179.87,5085260.67,5379777.19,5244072.34,5774366.46
JAMBI,5541738.97,5464114.09,6040094.03,3918371.03,3994254.67,4449090.01,4443405.79,4478944.91,4972120.28
SUMATERA SELATAN,5145029.69,5123218.84,5668813.29,3606711.28,3781180.91,4015548.85,4174263.5,4282675.68,4626365.08
BENGKULU,5593173.81,5375704.97,5839550.2,3763366.6,3651894.21,4105830.32,4409226.67,4245980.14,4689885.28
LAMPUNG,4993959.93,5137284.57,5267769.49,3275460.7,3308116.67,3651488.93,3793327.11,3877266.46,4166400.59
KEP. BANGKA BELITUNG,6280133.15,6002473.13,6711432.45,4948305.81,4892152.07,5588898.61,5694152.41,5534188.02,6231469.07
KEP. RIAU,6591980.55,6813233.79,6857519.34,4222678.62,4282831.91,4596272.44,6370404.74,6636732.59,6626465.84
DKI JAKARTA,7954511.86,8128863.56,9156272.74,-,-,-,7954511.86,8128863.56,9156272.74
JAWA BARAT,5455639.08,5450253.58,5826635.6,3638004.84,3563633.63,3845728.22,5041747.53,5042941.48,5409408.73
JAWA TENGAH,4460670.62,4485614.87,4919794.14,3410649.19,3413316.61,3789072.47,3959031.29,3975611.9,4386872.65
DI YOGYAKARTA,5336320.38,5408157.99,6214492.86,3426581.04,3473796.77,3948438.35,4887552.67,4966238.97,5692577.92
JAWA TIMUR,4653523.6,4763109.67,5103538.94,3240275.11,3298174.7,3717362.3,4023024.75,4116665.42,4500675.63
BANTEN,6843471.93,6443414.49,6837893.31,4607286.9,4283820.33,4669260.78,6274392.68,5883642.54,6336590.28
BALI,6344025.33,6170437.14,6705483.65,4433223.39,4390067.49,4439628.77,5801002.89,5684950.69,6054777
NUSA TENGGARA BARAT,4465640.17,4747616.66,4835571.61,3550173.08,3721450.85,3766828.15,3998253.9,4243257.73,4309553.61
NUSA TENGGARA TIMUR,5410347.3,5098135.81,5511058.87,3196890.11,3201380.77,3689377.29,3821772.11,3751413.73,4220805.4
KALIMANTAN BARAT,6021605.87,5812074.52,6414515.55,4048957.44,4018338.58,4327492.08,4785986.91,4692712.61,5121370.09
KALIMANTAN TENGAH,5710208.36,5592251.8,5731656.66,4531419.58,4646274.35,5017020.83,5025975.12,5048915.97,5322470.58
KALIMANTAN SELATAN,5905619.02,5916483.59,6105048.64,4167919.51,4179083.65,4526736.46,5011479.1,5043710.48,5317314.9
KALIMANTAN TIMUR,7273066.34,6986769.95,7443095.51,5357779.19,5162357.44,5843791.09,6662121.52,6423866.49,6962304.81
KALIMANTAN UTARA,7038589.17,6668076.22,6975531.52,5568805.94,5179403,5801590.84,6467737.13,6118321.47,6554135.66
SULAWESI UTARA,5222057.07,5021267.67,5058341.95,4069959.73,3970540.29,4297369.13,4703185.17,4552948.91,4728586.44
SULAWESI TENGAH,5505053.19,5185389.2,5489845.27,3838720.18,3828900.18,4138913.28,4372982.33,4280614.78,4592027.21
SULAWESI SELATAN,5733741.7,5502654.51,5707764.89,3595167.22,3558612.81,3963697.73,4523972.45,4440875.3,4783129.77
SULAWESI TENGGARA,5710430.37,5627411.78,5980347.83,3723095.7,3717937.39,4095393.84,4516011.97,4419680.2,4794937.03
GORONTALO,5330726.38,5440322.69,5891474.53,3611871.46,3765416.96,3847190.83,4365954.35,4518515.39,4777728.88
SULAWESI BARAT,5229520.44,4785603,5867310.25,3581693.17,3470889.39,3817091.12,3989704.76,3745547.29,4235030.38
MALUKU,6150632.52,5913678.41,6341570.99,4379127.29,3988496.29,4587521.91,5257574.1,4933086.06,5406138.91
MALUKU UTARA,6432936.26,5947644.89,6232464.99,4388408.37,4347008.63,4576440.24,5071940.66,4870930.99,5085367.72
PAPUA BARAT,7134871.21,7154741.33,6811704.9,5363367.19,5162585.01,5924535.09,6140468.67,6060732.17,6327027.44
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-
PAPUA,6857833.14,6752018.2,8283825.81,4964966.15,5362426.22,5763123.26,5783601.89,6040474.78,6975568.21
PAPUA SELATAN,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-
INDONESIA,5609718.4,5571499.91,5992195.22,3732550.56,3731644.52,4100407.91,4822910.21,4810954.97,5219491.9